,0
2014,0.8668583000427205
2015,0.8430376213740365
2016,0.8341496761247357
2017,0.8136913844641223
2018,0.816743290373734
2019,0.8320928717141829
2020,0.8298776276038278
2021,0.8355570336146277
2022,0.8322940892408605
2023,0.8402565456842032
2024,0.8267229298645505
2025,0.8311708383590606
2026,0.8243067363146067
2027,0.8391554598701529
2028,0.8370377605110763
2029,0.8259283291601784
2030,0.823603460266917
2031,0.8130606081340632
2032,0.8175161972346946
2033,0.817591576582013
2034,0.8210475489681537
2035,0.816296054461882
2036,0.8102589770776704
2037,0.8409300486536928
2038,0.84309110124941
2039,0.8405627812327635
2040,0.8491710162101036
2041,0.8279131110905086
2042,0.8458209203852931
2043,0.8551536858571294
2044,0.8528079965449088
2045,0.8788823925426051
2046,0.8957136484556986
2047,0.9143089939686554
2048,0.9146550903097631
2049,0.9315387011891537
2050,0.9500227837792518
2051,0.9364723845985387
2052,0.9236350552975625
2053,0.9110594445741814
2054,0.9211970637071462
2055,0.9164028305801057
2056,0.9151960697449985
2057,0.9035268019900847
2058,0.8998817903732174
2059,0.9069089394271508
2060,0.9031152852120984
2061,0.9186969224516557
2062,0.9093635134027744
2063,0.9122540383330379
2064,0.91917369954548
2065,0.9312658402358857
2066,0.9529775552508549
2067,0.9491539015545865
2068,0.9697928033075259
2069,0.9672134452036074
2070,0.978959444946731
2071,1.0274256214067468
2072,1.0154133815271373
2073,1.022984660074181
2074,1.0028249056692113
2075,1.011592342697159
2076,0.9965987888477063
2077,1.0031702051172866
2078,1.0036446884074102
2079,0.9941742707176623
2080,0.9932859746262143
2081,0.9794622318099512
2082,0.9856092940038259
2083,0.9790817782240451
2084,0.9851219337192522
2085,1.0059213052226652
2086,1.0146413148140456
2087,1.0383110595993958
2088,1.0448875111089349
2089,1.041436088198168
2090,1.063242103922479
